tx_count,avg_value,max_value,median_gas_price,unique_receivers,unique_senders,tx_per_day,in_tx_count,out_tx_count,in_out_ratio,self_tx_ratio,max_tx_in_1h,max_tx_in_5min,tx_time_std,zero_value_tx_ratio,high_value_tx_ratio,short_time_repeated_tx
3,0.001340221621884046,0.002020664865652138,0.0021,2,1,93.30453563714902,0,3,0.0,0.0,3,2,1941.7152211382595,0.3333333333333333,0.3333333333333333,0.3333333333333333
3,0.0,0.0,0.002292917,2,1,443.83561643835617,0,3,0.0,0.0,3,1,395.9797974644666,1.0,0.0,0.3333333333333333
656082,0.0,0.0,0.0060126515,2,1,2199669.569266589,0,1000,0.0,0.0,344,54,134.95260929620483,0.0015241997189375718,0.0,0.0015211513194996968
2,3.323437789485e-07,6.64687557887e-07,0.0029092395,2,1,28800.0,0,2,0.0,0.0,2,2,,0.0,0.5,0.0
52183,0.0,0.0,0.026294822,1,1,9441.326799849227,0,1000,0.0,0.0,54,24,1368.7314825847004,0.01916332905352318,0.0,0.019144165724469656
2644,0.0,0.0,0.003082737,194,1,130.98159825787207,0,1000,0.0,0.0,11,5,3309.9977246884046,0.37821482602118,0.0,0.3048411497730711
2,3.650082974965e-07,7.30016594983e-07,0.0024869225,2,1,43200.0,0,2,0.0,0.0,2,2,,0.0,0.5,0.0
4,0.00029917348765318727,0.0011,0.002137226,3,3,0.09829295624029442,2,2,1.0,0.0,3,2,2029647.7429094273,0.25,0.25,0.25
563,0.006273306147272107,0.08277613749284288,0.002747365,4,2,153.73665480427047,1,562,0.0017793594306049821,0.0,14,4,528.2378501976754,0.5150976909413855,0.010657193605683837,0.9928952042628775
158,6.638644286109739e-05,0.00458269,0.0025534165,13,2,2.9820581076670822,3,155,0.01935483870967742,0.0,7,2,78238.8095549988,0.9620253164556962,0.012658227848101266,0.9177215189873418
198,0.004547116233987571,0.13643377651939914,0.004144313,22,6,1.7034829231492927,19,179,0.10614525139664804,0.0,12,9,136149.80054899043,0.3686868686868687,0.010101010101010102,0.8888888888888888
145,0.004873793103448276,0.0249,0.003922932,23,1,2.492211838006231,0,145,0.0,0.0,9,2,119468.08364489328,0.6137931034482759,0.013793103448275862,0.8413793103448276
110771,0.0,0.0,0.001011287,10,1,272760.32831737347,0,1000,0.0,0.0,112,13,24.120602454777398,0.009027633586407995,0.0,0.008937357250543915
84,0.0,0.0,0.005276229,2,1,0.4113893914865251,0,84,0.0,0.0,2,2,273723.0138632037,1.0,0.0,0.9761904761904762
31,7.139924838709678e-05,0.0012,0.014275263,12,1,0.21832373928311172,0,31,0.0,0.0,3,3,1029811.9301558466,0.9354838709677419,0.03225806451612903,0.6129032258064516
10,0.050604677302142895,0.15277646467550182,0.0030059175,1,10,4.763322417386126,10,0,10.0,0.0,4,1,37928.81574739712,0.0,0.1,0.9
1589,1.4848912729292564e-05,4.9936054501816e-05,0.0020669845,1,1,33.34066737870047,0,1000,0.0,0.0,3,1,2865.1119761794425,0.3096286972938955,0.0062932662051604785,0.6286972938955318
2,3.52210761652e-07,7.0442152286e-07,0.0017664495,2,1,43200.0,0,2,0.0,0.0,2,2,,0.0,0.5,0.0
2,3.81717835467e-07,6.63435670934e-07,0.002489707,2,1,43200.0,0,2,0.0,0.0,2,2,,0.0,0.5,0.0
2,2.95751188234e-07,5.9150237558e-07,0.0017461605,2,1,28800.0,0,2,0.0,0.0,2,2,,0.0,0.5,0.0
1674,0.5665731146212314,2.99,0.0092662965,125,1,10.98113793736496,0,1000,0.0,0.0,14,8,71126.20105479856,0.2007168458781362,0.005973715651135006,0.522700119474313
2,3.525989503005e-07,7.05197900157e-07,0.0017482025,2,1,43200.0,0,2,0.0,0.0,2,2,,0.0,0.5,0.0
4,0.0,0.0,0.002285936,2,1,1878.2608695652173,0,4,0.0,0.0,4,4,60.5419964432404,1.0,0.0,0.5
326136,1.691174463049685e-06,5.7662546777236e-05,0.0031,342,1,354370.8234820665,0,1000,0.0,0.0,87,17,115.17791683162169,0.0,3.066205509358059e-05,0.002017563225157603
274,0.031874315703793475,0.487967,0.0050252205,66,5,0.7214528674015245,13,261,0.04980842911877394,0.0,54,7,682667.2128353289,0.6751824817518248,0.010948905109489052,0.7262773722627737
1,0.0,0.0,0.002260788,1,1,0.0,0,1,0.0,0.0,1,1,,1.0,0.0,0.0
22,4.318181818181818e-05,0.0005,0.0021003265,6,2,20.005051780752716,2,20,0.1,0.0,5,5,10621.375732792003,0.8181818181818182,0.045454545454545456,0.7272727272727273
2,1.15e-17,2.3e-17,0.0021776495,2,1,1920.0,0,2,0.0,0.0,2,2,,0.5,0.5,0.0
2,2.97813570414e-07,5.95627140384e-07,0.001751231,2,1,43200.0,0,2,0.0,0.0,2,2,,0.0,0.5,0.0
9369,1.084453617063823e-06,0.001084453617063823,0.0023559975,2,2,4145.320469489338,1,999,0.001001001001001001,0.0,50,13,238.59794402870781,0.10662824207492795,0.00010673497705197993,0.10652150709787597
2503,9e-07,0.0009,0.0033556195,2,2,43.061833963818046,1,999,0.001001001001001001,0.0,8,3,39135.210769574594,0.3991210547343188,0.00039952057530962844,0.3987215341590092
